"subject_id" "activity" "xyz" "mean(value)"
1 "laying" "X" -0.352055396762
1 "laying" "Y" -0.272356087089825
1 "laying" "Z" -0.290242847957375
1 "sitting" "X" -0.238899892971011
1 "sitting" "Y" -0.353894295985452
1 "sitting" "Z" -0.332024130450692
1 "standing" "X" -0.225327272510118
1 "standing" "Y" -0.417009963540802
1 "standing" "Z" -0.378971083522396
1 "walking" "X" 0.0552992024547632
1 "walking" "Y" -0.0536527326882118
1 "walking" "Z" -0.1501382210825
1 "walking_downstairs" "X" 0.103037043265867
1 "walking_downstairs" "Y" -0.0705781630235714
1 "walking_downstairs" "Z" -0.082924731128699
1 "walking_upstairs" "X" -0.0247883211125
1 "walking_upstairs" "Y" -0.187354340867476
1 "walking_upstairs" "Z" -0.221630220273042
2 "laying" "X" -0.401900519635417
2 "laying" "Y" -0.293364739734141
2 "laying" "Z" -0.290094854965885
2 "sitting" "X" -0.225694557967391
2 "sitting" "Y" -0.390961946839005
2 "sitting" "Z" -0.35254367875587
2 "standing" "X" -0.226472842518171
2 "standing" "Y" -0.425716893252338
2 "standing" "Z" -0.356778223197986
2 "walking" "X" 0.00449572635105932
2 "walking" "Y" -0.138057740598008
2 "walking" "Z" -0.173370146636441
2 "walking_downstairs" "X" 0.147577747181037
2 "walking_downstairs" "Y" -0.0482563808542553
2 "walking_downstairs" "Z" -0.054171496831117
2 "walking_upstairs" "X" 0.014343997355599
2 "walking_upstairs" "Y" -0.148479292025286
2 "walking_upstairs" "Z" -0.116202255490365
3 "laying" "X" -0.367683517475907
3 "laying" "Y" -0.273371143630444
3 "laying" "Z" -0.307185538343751
3 "sitting" "X" -0.226736428254808
3 "sitting" "Y" -0.348382221431514
3 "sitting" "Z" -0.344046121796298
3 "standing" "X" -0.206628506110266
3 "standing" "Y" -0.40042405096332
3 "standing" "Z" -0.360617822734287
3 "walking" "X" 0.0141892799778664
3 "walking" "Y" -0.146142980457716
3 "walking" "Z" -0.196256991884332
3 "walking_downstairs" "X" 0.104087347410969
3 "walking_downstairs" "Y" -0.122079954063546
3 "walking_downstairs" "Z" -0.171836347695893
3 "walking_upstairs" "X" -0.0131157912849576
3 "walking_upstairs" "Y" -0.19434066198286
3 "walking_upstairs" "Z" -0.236719800834958
4 "laying" "X" -0.384055423605324
4 "laying" "Y" -0.259885251218188
4 "laying" "Z" -0.322678684839167
4 "sitting" "X" -0.2302499415475
4 "sitting" "Y" -0.344417770475813
4 "sitting" "Z" -0.35205821891835
4 "standing" "X" -0.209518132392857
4 "standing" "Y" -0.372879642139069
